
CCTV,#genre#
海南卫视,http://223.110.251.152:6610/gitv/live1/LYWS/LYWS/
四川卫视,http://223.110.251.152:6610/gitv/live1/SCWS/SCWS/
河南卫视,http://223.110.251.152:6610/gitv/live1/HENAN/HENAN/
东南卫视,http://223.110.251.152:6610/gitv/live1/DNWS/DNWS/
江西卫视,http://223.110.251.152:6610/gitv/live1/JXWS/JXWS/
吉林卫视,http://223.110.251.152:6610/gitv/live1/G_JILIN/G_JILIN/
山西卫视,http://223.110.251.152:6610/gitv/live1/SXWS/SXWS/
贵州卫视,http://223.110.251.152:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/
青海卫视,http://223.110.251.152:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
内蒙古卫视,http://223.110.251.152:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
云南卫视,http://223.110.251.152:6610/gitv/live1/G_YUNNAN/G_YUNNAN/
河北卫视,http://223.110.251.152:6610/gitv/live1/G_HEBEI/G_HEBEI/
宁夏卫视,http://223.110.251.152:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
新疆卫视,http://223.110.251.152:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
甘肃卫视,http://223.110.251.152:6610/gitv/live1/G_GANSU/G_GANSU/
西藏卫视,http://223.110.251.152:6610/gitv/live1/G_XIZANG/G_XIZANG/
陕西卫视,http://223.110.251.152:6610/gitv/live1/G_SHANXI/G_SHANXI/
兵团卫视,http://223.110.251.152:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/


江苏卫视,http://223.110.251.152:6610/cntv/live1/jiangsustv/jiangsustv
浙江卫视,http://223.110.251.152:6610/cntv/live1/zhejiangstv/zhejiangstv
北京卫视,http://223.110.251.152:6610/cntv/live1/beijingstv/beijingstv
湖南卫视,http://223.110.251.152:6610/cntv/live1/hunanstv/hunanstv
广东卫视,http://223.110.251.152:6610/cntv/live1/guangdongstv/guangdongstv
东方卫视,http://223.110.251.152:6610/cntv/live1/dongfangstv/dongfangstv
深圳卫视,http://223.110.251.152:6610/cntv/live1/shenzhenstv/shenzhenstv
山东卫视,http://223.110.251.152:6610/cntv/live1/shandongstv/shandongstv
天津卫视,http://223.110.251.152:6610/cntv/live1/tianjinstv/tianjinstv
湖北卫视,http://223.110.251.152:6610/cntv/live1/hubeistv/hubeistv
黑龙江卫视,http://223.110.251.152:6610/cntv/live1/HD-8000k-1080P-heilongjiangstv/HD-8000k-1080P-heilongjiangstv
安徽卫视,http://223.110.251.152:6610/cntv/live1/anhuistv/
江西卫视,http://223.110.251.152:6610/cntv/live1/jiangxistv/jiangxistv
重庆卫视,http://223.110.251.152:6610/cntv/live1/chongqingstv/
辽宁卫视,http://223.110.251.152:6610/cntv/live1/liaoningstv/liaoningstv
吉林卫视,http://223.110.251.152:6610/cntv/live1/jilinstv/
东南卫视,http://223.110.251.152:6610/cntv/live1/dongnanstv/dongnanstv
四川卫视,http://223.110.251.152:6610/cntv/live1/sichuanstv/sichuanstv
广西卫视,http://223.110.251.152:6610/cntv/live1/guangxistv/guangxistv
河北卫视,http://223.110.251.152:6610/cntv/live1/hebeistv/hebeistv
山西卫视,http://223.110.251.152:6610/cntv/live1/shanxistv/shanxistv
陕西卫视,http://223.110.251.152:6610/cntv/live1/shanxi1stv/shanxi1stv
海南卫视,http://223.110.251.152:6610/cntv/live1/lvyoustv/
贵州卫视,http://223.110.251.152:6610/cntv/live1/guizhoustv/guizhoustv
青海卫视,http://223.110.251.152:6610/cntv/live1/qinghaistv/qinghaistv
河南卫视,http://223.110.251.152:6610/cntv/live1/henanstv/henanstv
宁夏卫视,http://223.110.251.152:6610/cntv/live1/ningxiastv/ningxiastv
甘肃卫视,http://223.110.251.152:6610/cntv/live1/gansustv/gansustv
内蒙古卫视,http://223.110.251.152:6610/cntv/live1/neimenggustv/neimenggustv
新疆卫视,http://223.110.251.152:6610/cntv/live1/xinjiangstv/xinjiangstv
云南卫视,http://223.110.251.152:6610/cntv/live1/yunnanstv/yunnanstv
西藏卫视,http://223.110.251.152:6610/cntv/live1/xizangstv/xizangstv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳门卫视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
澳亚卫视,https://live.mastvnet.com/4rlff1m/1024/live.m3u8
莲花卫视,http://live-hls.macaulotustv.com/lotustv/5562e9e4d409d24c9600075c.m3u8
延边卫视,http://223.110.251.152:6610/gitv/live1/G_YANBIAN/G_YANBIAN/
三沙卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/sstv
三沙卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227002/index.m3u8
三沙卫视,http://player.ioioz.com/1786/hainan/hainanm3u8.php?tv=hainan&id=9
海峡卫视 ,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226977/index.m3u8
海峡卫视,http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=024&Provider_id=&Pcontent_id=index.m3u8
海峡卫视,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
海峡卫视,http://live1.nty.tv189.com:80/tm-haixiatv-800k.m3u8
海峡卫视,rtsp://183.252.166.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
海峡卫视,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226977/index.m3u8
南方卫视,http://223.110.251.152:6610/gitv/live1/G_NANFANG/G_NANFANG/
农林卫视,http://223.110.251.152:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
中国交通,http://tv.lanjingfm.com/cctbn/beijing.m3u8
中国天气,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227438/index.m3u8
中华特产,http://play.zhtctv.cn/portal/btv.m3u8
中华美食,http://223.110.254.212:6610/gitv/live1/G_ZHONGHUAMS/G_ZHONGHUAMS/
公共频道,http://live1.jcbctv.com:1935/live/XWZH/1000K/tzwj_video.m3u8
公共频道,http://live.jinnews.com.cn/xwzh/sd/live.m3u8
新闻综合,http://live1.jcbctv.com:1935/live/GGPD/1000K/tzwj_video.m3u8
新闻综合,http://live.jinnews.com.cn/ggpd/sd/live.m3u8
教育卫视,http://120.221.5.166:8089/ucdn.sd.chinamobile.com/2/00/SNM/CHANNEL00000331/index.m3u8
教育卫视,http://120.221.5.102:8089/PLTV/88888888/224/3221226049/index.m3u8
